=== SPH GPU MEMORY DIAGNOSTIC ===
Total Particles: 20129
NaN (Corrupted) Particles: 0
Max Velocity: 2.26342 m/s
Density Range: [322.517, 16173.5]
System Kinetic Energy: 714.455 J
=================================

--- INDIVIDUAL PARTICLE DATA ---
Format: [Index] Pos(x,y,z) | Vel(x,y,z) | Density | Pressure
[49] P(1, 1.3, -1) | V(-0.142224, 0.136057, 0.148857) | D:14017.5 | Pr:65087.4
[50] P(-0.31875, 1.3, 0.653678) | V(0.0530316, 0.109739, 0.0161359) | D:12140.9 | Pr:55704.3
[51] P(0.671102, 1.3, -1) | V(-0.286286, 0.123486, 0.0824) | D:13830.2 | Pr:64151.1
[52] P(0.0876597, 1.41793, -0.595545) | V(0.0209469, 0.0664318, -0.09492) | D:8170.67 | Pr:35853.4
[53] P(0.753553, 1.56433, -0.665917) | V(0.00126495, 0.136428, -0.00588344) | D:4727.63 | Pr:18638.1
[54] P(-0.680685, 1.3, -0.766043) | V(0.0694463, 0.113567, -0.0327558) | D:11839.5 | Pr:54197.3
[55] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[56] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[57] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[58] P(-0.200537, 1.3, -0.461424) | V(0.0210237, 0.11458, -0.026209) | D:11729.3 | Pr:53646.6
[59] P(-1, 1.3, -0.628964) | V(0.0863399, 0.128131, 0.323066) | D:14045.1 | Pr:65225.5
[60] P(-0.684465, 1.45701, 0.49194) | V(-0.043741, 0.128995, 0.203954) | D:7090.55 | Pr:30452.8
[61] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[62] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[63] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[64] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[65] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[66] P(0.0504904, 1.73211, -0.755771) | V(-0.08913, 0.0366187, 0.0973744) | D:2212.48 | Pr:6062.42
[67] P(0.187834, 1.3, 0.53333) | V(0.0231964, 0.112563, 0.00526975) | D:12094.9 | Pr:55474.7
[68] P(0.761117, 1.85833, 0.524338) | V(0.127751, 0.0529881, -0.27844) | D:1429.12 | Pr:2145.61
[69] P(-1, 1.3, -0.904978) | V(0.0795684, 0.127942, -0.852645) | D:13833.6 | Pr:64168
[70] P(0.4766, 1.3, 0.682976) | V(-0.0188638, 0.114341, -0.0335917) | D:12069.6 | Pr:55348.1
[71] P(-0.486684, 1.69885, -0.389908) | V(-0.00361232, -0.0716067, 0.445287) | D:2555.62 | Pr:7778.1
[72] P(-1, 1.3, 0.752888) | V(0.0792853, 0.113556, -0.682686) | D:13974.8 | Pr:64873.9
[73] P(-1, 1.3, -0.671846) | V(0.0870833, 0.128413, -1.0344) | D:14023.2 | Pr:65116.1
[74] P(-0.718558, 1.3, 0.422302) | V(-0.0165542, 0.114051, -0.0540058) | D:12146.1 | Pr:55730.7
[75] P(-0.206396, 1.56307, 0.890938) | V(-0.0805703, 0.0639856, -0.269628) | D:5033.17 | Pr:20165.9
[76] P(-0.718558, 1.3, 0.422302) | V(-0.0165542, 0.114051, -0.0540058) | D:12146.1 | Pr:55730.7
[77] P(0.761117, 1.85833, 0.524338) | V(0.127751, 0.0529881, -0.27844) | D:1429.12 | Pr:2145.61
[78] P(-0.83958, 1.3, -0.509306) | V(0.0412391, 0.113289, 0.0154041) | D:11910.8 | Pr:54554
[79] P(1, 1.60139, 0.122585) | V(-0.0551242, 0.069878, -0.125228) | D:5027.65 | Pr:20138.2
[80] P(-0.249912, 1.3, 0.831044) | V(0.0608258, 0.114096, -0.0592571) | D:11970.7 | Pr:54853.4
[81] P(0.0862625, 1.3, -0.427611) | V(0.00395193, 0.112563, -0.0683136) | D:11714.8 | Pr:53574
[82] P(0.717973, 1.3, 0.489307) | V(0.026044, 0.115168, 0.0326048) | D:11731 | Pr:53655.1
[83] P(-0.578863, 1.76245, 0.888452) | V(0.0827632, -0.0893622, 0.194096) | D:2082.64 | Pr:5413.19
[84] P(0.4766, 1.3, 0.682976) | V(-0.0188638, 0.114341, -0.0335917) | D:12069.6 | Pr:55348.1
[85] P(1, 1.3, 0.74946) | V(-0.0892703, 0.121349, -0.591102) | D:13133.3 | Pr:60666.4
[86] P(1, 1.3, 0.74946) | V(-0.0892703, 0.121349, -0.591102) | D:13133.3 | Pr:60666.4
[87] P(1, 1.3, 0.74946) | V(-0.0892703, 0.121349, -0.591102) | D:13133.3 | Pr:60666.4
[88] P(0.338259, 1.3, -0.0919386) | V(-0.00201645, 0.112085, -0.0227972) | D:12162.2 | Pr:55811.2
[89] P(0.385093, 1.44474, 0.210896) | V(0.135424, 0.071892, 0.219829) | D:6942.84 | Pr:29714.2
[90] P(-0.685472, 1.50366, -1) | V(-0.256928, 0.0845422, 0.0579963) | D:7060.96 | Pr:30304.8
[91] P(-0.037726, 1.3, 0.666491) | V(-0.0396419, 0.112192, 0.0698164) | D:11820.4 | Pr:54101.8
[92] P(-0.037726, 1.3, 0.666491) | V(-0.0396419, 0.112192, 0.0698164) | D:11820.4 | Pr:54101.8
[93] P(-0.037726, 1.3, 0.666491) | V(-0.0396419, 0.112192, 0.0698164) | D:11820.4 | Pr:54101.8
[94] P(-0.037726, 1.3, 0.666491) | V(-0.0396419, 0.112192, 0.0698164) | D:11820.4 | Pr:54101.8
[95] P(-0.037726, 1.3, 0.666491) | V(-0.0396419, 0.112192, 0.0698164) | D:11820.4 | Pr:54101.8
[96] P(0.434046, 1.3, -0.206168) | V(-0.027827, 0.114251, 0.0580894) | D:12063.3 | Pr:55316.5
[97] P(-1, 1.44497, 1) | V(0.104415, 0.0354912, -0.110015) | D:8441.39 | Pr:37206.9
[98] P(0.501704, 1.3, -1) | V(0.130581, 0.117003, 0.0788409) | D:13669 | Pr:63345.2
[99] P(-0.746293, 1.3, -1) | V(0.00413621, 0.124055, 0.0918193) | D:13193.5 | Pr:60967.6
[100] P(0.769063, 1.7241, 0.882769) | V(-0.0973034, -0.00143054, -0.188558) | D:2628.9 | Pr:8144.51
[101] P(-0.267347, 1.3, 0.133128) | V(-0.000338358, 0.110595, -0.00327727) | D:12020.5 | Pr:55102.5
[102] P(0.209099, 1.3, 0.523872) | V(0.0438639, 0.112758, 0.0333748) | D:12055.7 | Pr:55278.7
[103] P(0.294234, 1.39391, 0.840639) | V(-0.15039, -0.0585419, 0.018645) | D:9289.32 | Pr:41446.6
[104] P(0.792586, 1.49067, -0.533549) | V(-0.285402, 0.0709806, 0.309095) | D:6302.18 | Pr:26510.9
[105] P(-0.218884, 1.53143, 0.199403) | V(-0.0327016, -0.361383, 0.287492) | D:5026.04 | Pr:20130.2
[106] P(0.0393731, 1.3, -1) | V(-0.61324, 0.12294, 0.0828854) | D:13353.7 | Pr:61768.6
[107] P(-0.549105, 1.3, -0.216067) | V(-0.0388391, 0.113381, -0.0569624) | D:12044.6 | Pr:55223.2
[108] P(-0.774691, 1.63058, 0.640943) | V(0.0724712, 0.0121389, 0.024896) | D:3663.92 | Pr:13319.6
[109] P(0.4766, 1.3, 0.682976) | V(-0.0188638, 0.114341, -0.0335917) | D:12069.6 | Pr:55348.1
[110] P(1, 1.41455, -0.918776) | V(-0.0731717, -0.0956848, 0.0765753) | D:10546.1 | Pr:47730.3
[111] P(-0.718558, 1.3, 0.422302) | V(-0.0165542, 0.114051, -0.0540058) | D:12146.1 | Pr:55730.7
[112] P(-0.700819, 1.3, 0.564553) | V(-0.021958, 0.112316, 0.0787658) | D:12346.5 | Pr:56732.3
[113] P(-0.198715, 1.82125, 0.178128) | V(-0.107081, -0.00640432, 0.0952521) | D:1589.04 | Pr:2945.21
[114] P(-0.735187, 1.3, 1) | V(0.137049, 0.125425, -0.0801196) | D:14174.9 | Pr:65874.6
[115] P(1, 1.3, -0.590773) | V(-0.0792791, 0.119852, -0.250218) | D:13121.5 | Pr:60607.3
[116] P(1, 1.3, -0.590773) | V(-0.0792791, 0.119852, -0.250218) | D:13121.5 | Pr:60607.3
[117] P(1, 1.3, -0.590773) | V(-0.0792791, 0.119852, -0.250218) | D:13121.5 | Pr:60607.3
[118] P(1, 1.3, -0.590773) | V(-0.0792791, 0.119852, -0.250218) | D:13121.5 | Pr:60607.3
[119] P(0.153771, 1.59009, 0.220744) | V(0.179057, -0.0111804, 0.0686864) | D:3996.03 | Pr:14980.2
[120] P(-0.229076, 1.4482, -0.355139) | V(-0.0486848, -0.0348974, -0.164324) | D:6883.02 | Pr:29415.1
[121] P(-0.00860187, 1.39738, -1) | V(-0.157485, 0.000852015, 0.0684222) | D:10511.9 | Pr:47559.4
[122] P(-0.00860187, 1.39738, -1) | V(-0.157485, 0.000852015, 0.0684222) | D:10511.9 | Pr:47559.4
[123] P(-0.00860187, 1.39738, -1) | V(-0.157485, 0.000852015, 0.0684222) | D:10511.9 | Pr:47559.4
[124] P(-0.00860187, 1.39738, -1) | V(-0.157485, 0.000852015, 0.0684222) | D:10511.9 | Pr:47559.4
[125] P(-0.00860187, 1.39738, -1) | V(-0.157485, 0.000852015, 0.0684222) | D:10511.9 | Pr:47559.4
[126] P(0.16463, 1.3, 0.730378) | V(0.0147064, 0.1113, 0.0102418) | D:12075.7 | Pr:55378.5
[127] P(-0.323565, 1.3, 0.787044) | V(-0.029048, 0.115187, 0.0232107) | D:12109.8 | Pr:55548.9
[128] P(-0.0272952, 1.44683, -0.707006) | V(0.165914, -0.233611, -0.18617) | D:7283.52 | Pr:31417.6
[129] P(0.491865, 1.3, -0.678459) | V(-0.0893704, 0.115024, -0.0505781) | D:12079.9 | Pr:55399.6
[130] P(0.205516, 2.06378, -0.999994) | V(-0.388185, 0.191027, 7.02839e-05) | D:701.203 | Pr:0
[131] P(-0.851968, 1.47543, -0.839477) | V(0.0736185, 0.089489, -0.106675) | D:6370.64 | Pr:26853.2
[132] P(-0.860058, 1.3, -0.0601747) | V(0.0967641, 0.112822, -0.0361712) | D:12179.1 | Pr:55895.5
[133] P(-0.870286, 1.3, 0.259991) | V(0.0398759, 0.114415, 0.107054) | D:12204.5 | Pr:56022.6
[134] P(0.257072, 1.87191, 0.858221) | V(-0.194384, 0.188444, -0.410088) | D:1211.41 | Pr:1057.04
[135] P(-0.186991, 1.3, 0.840726) | V(0.0616159, 0.112727, -0.00435827) | D:12036.7 | Pr:55183.4
[136] P(0.885779, 1.3, -1) | V(-0.132774, 0.130426, 0.081603) | D:14473.8 | Pr:67369
[137] P(-0.0673903, 1.40808, -0.89673) | V(0.166425, -0.165442, 0.140024) | D:8927.53 | Pr:39637.7
[138] P(-0.485861, 1.3, 0.820201) | V(-0.0679896, 0.116221, -0.123137) | D:12187.1 | Pr:55935.5
[139] P(1, 1.3, -0.051892) | V(-0.0889798, 0.125286, 0.167868) | D:13492.8 | Pr:62463.8
[140] P(-0.839544, 1.3, -0.0722079) | V(0.116615, 0.11335, -0.0297979) | D:12000.9 | Pr:55004.6
[141] P(-0.385544, 1.6543, -0.352098) | V(0.117484, -0.0115411, 0.0386627) | D:2984.19 | Pr:9920.93
[142] P(-0.747028, 1.80149, 0.481566) | V(-0.344961, 0.0948208, -0.348271) | D:1903.25 | Pr:4516.24
[143] P(-0.0673903, 1.40808, -0.89673) | V(0.166425, -0.165442, 0.140024) | D:8927.53 | Pr:39637.7
[144] P(0.297582, 1.3, 0.827035) | V(-0.0417962, 0.111838, -0.037635) | D:12075.6 | Pr:55378
[145] P(0.770932, 1.3, -0.690836) | V(-0.0354686, 0.112749, 0.0487399) | D:12124.9 | Pr:55624.7
[146] P(0.770932, 1.3, -0.690836) | V(-0.0354686, 0.112749, 0.0487399) | D:12124.9 | Pr:55624.7
[147] P(0.770932, 1.3, -0.690836) | V(-0.0354686, 0.112749, 0.0487399) | D:12124.9 | Pr:55624.7
[148] P(0.770932, 1.3, -0.690836) | V(-0.0354686, 0.112749, 0.0487399) | D:12124.9 | Pr:55624.7
[149] P(1, 1.82353, -0.0876772) | V(-0.0261807, -0.141368, 0.319945) | D:2211.16 | Pr:6055.78
[150] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[151] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[152] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[153] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[154] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[155] P(1, 1.40528, 0.0473633) | V(-0.0629509, 0.0202034, 0.00616065) | D:10055.5 | Pr:45277.6
[156] P(-0.688808, 1.3, 0.431426) | V(-0.100167, 0.113902, 0.0143018) | D:12235.1 | Pr:56175.6
[157] P(0.0423606, 1.64901, -0.288985) | V(0.00965861, 0.0179133, 0.216197) | D:3528.46 | Pr:12642.3
[158] P(-1, 1.44497, 1) | V(0.104415, 0.0354912, -0.110015) | D:8441.39 | Pr:37206.9
[159] P(0.0112149, 1.76056, -0.611438) | V(-0.237954, 0.112028, 0.123852) | D:2061.57 | Pr:5307.87
[160] P(0.756127, 1.3, 0.0253609) | V(0.0341149, 0.112491, 0.0301463) | D:12264.4 | Pr:56321.9
[161] P(-0.851525, 1.3, -0.583151) | V(0.0856419, 0.112027, 0.0278647) | D:11874.2 | Pr:54370.8
[162] P(-0.0547598, 1.53364, -0.398451) | V(0.148522, 0.0944435, 0.0207677) | D:5136.95 | Pr:20684.7
[163] P(0.211045, 1.39951, 1) | V(-0.0552781, 0.111804, -0.0645816) | D:11334.2 | Pr:51670.9
[164] P(1, 1.50711, 1) | V(-0.110745, 0.337496, -0.089085) | D:6842.25 | Pr:29211.2
[165] P(0.525662, 1.3, 0.0624158) | V(-0.0117514, 0.114348, -0.0337264) | D:12208.6 | Pr:56042.8
[166] P(-0.666812, 1.3, 0.275319) | V(-0.0159744, 0.111327, 0.0255844) | D:11985.7 | Pr:54928.3
[167] P(-0.858187, 1.3, 0.810216) | V(-0.0409687, 0.113547, -0.21759) | D:12004.8 | Pr:55023.9
[168] P(0.172829, 1.54807, -0.375001) | V(-0.0417055, -0.0880577, 0.0013852) | D:4638.02 | Pr:18190.1
[169] P(-0.730623, 1.3, -0.11354) | V(-0.00735227, 0.112574, 0.0731145) | D:11432.4 | Pr:52162
[170] P(-0.0673903, 1.40808, -0.89673) | V(0.166425, -0.165442, 0.140024) | D:8927.53 | Pr:39637.7
[171] P(1, 1.69733, 0.843197) | V(-0.051149, -0.0427797, 0.34897) | D:3722.08 | Pr:13610.4
[172] P(-1, 1.68349, -1) | V(0.0920771, -0.0426439, 0.0681658) | D:4087.36 | Pr:15436.8
[173] P(-0.670982, 1.3, 0.390223) | V(-0.120567, 0.110741, 0.0602768) | D:12162.2 | Pr:55810.8
[174] P(0.194985, 1.3, 0.553208) | V(0.0677837, 0.111963, -0.0209885) | D:12101.1 | Pr:55505.4
[175] P(-0.174051, 1.42102, 0.686044) | V(-0.0349738, -0.0125102, -0.0511968) | D:8038.72 | Pr:35193.6
[176] P(-0.174051, 1.42102, 0.686044) | V(-0.0349738, -0.0125102, -0.0511968) | D:8038.72 | Pr:35193.6
[177] P(-0.174051, 1.42102, 0.686044) | V(-0.0349738, -0.0125102, -0.0511968) | D:8038.72 | Pr:35193.6
[178] P(-0.174051, 1.42102, 0.686044) | V(-0.0349738, -0.0125102, -0.0511968) | D:8038.72 | Pr:35193.6
[179] P(0.634328, 1.65054, 0.619057) | V(0.110298, -0.344931, 0.0243776) | D:3339.1 | Pr:11695.5
[180] P(-0.872561, 1.6166, 0.401314) | V(0.163818, 0.14114, 0.0817527) | D:3714.87 | Pr:13574.4
[181] P(-1, 1.3, -1) | V(0.135839, 0.126463, 0.147136) | D:13825 | Pr:64124.9
[182] P(0.755906, 1.58354, 1) | V(0.0230764, -0.0642274, -0.0480848) | D:5199.68 | Pr:20998.4
[183] P(0.755906, 1.58354, 1) | V(0.0230764, -0.0642274, -0.0480848) | D:5199.68 | Pr:20998.4
[184] P(0.755906, 1.58354, 1) | V(0.0230764, -0.0642274, -0.0480848) | D:5199.68 | Pr:20998.4
[185] P(0.755906, 1.58354, 1) | V(0.0230764, -0.0642274, -0.0480848) | D:5199.68 | Pr:20998.4
[186] P(-0.721811, 1.58816, -0.4796) | V(-0.0687841, 0.308035, -0.0330552) | D:4408.04 | Pr:17040.2
[187] P(0.159226, 1.3, -0.5402) | V(0.0297473, 0.112947, -0.00355975) | D:11631.7 | Pr:53158.6
[188] P(-0.219146, 1.88201, -0.738051) | V(0.156947, 0.272651, 0.041492) | D:1276.32 | Pr:1381.61
[189] P(0.358512, 2.0299, 1) | V(0.282171, -0.218739, -0.00618472) | D:1123.77 | Pr:618.864
[190] P(1, 1.3, -0.681108) | V(-0.0803004, 0.124116, -0.214304) | D:13515.8 | Pr:62578.8
[191] P(-0.406867, 1.57168, 0.0684972) | V(-0.284119, -0.0321188, 0.14486) | D:4484.21 | Pr:17421.1
[192] P(-0.883276, 1.3, 1) | V(-0.0651564, 0.118473, -0.0758659) | D:14560.9 | Pr:67804.6
[193] P(-0.081339, 1.67209, 0.276545) | V(0.111541, -0.00862929, -0.108999) | D:3247.74 | Pr:11238.7
[194] P(1, 1.84214, 0.186877) | V(-0.0195668, -0.160822, -0.172451) | D:2295.28 | Pr:6476.4
[195] P(-0.146158, 1.3, -0.704852) | V(-0.0373744, 0.115224, -0.122068) | D:12284.9 | Pr:56424.3
[196] P(-1, 1.44497, 1) | V(0.104415, 0.0354912, -0.110015) | D:8441.39 | Pr:37206.9
[197] P(0.822941, 1.49583, -0.511058) | V(0.0749906, -0.0240439, -0.0535509) | D:6105.59 | Pr:25527.9
[198] P(0.756816, 1.3, -0.560069) | V(-0.0308866, 0.115635, 0.0311371) | D:12169.6 | Pr:55847.8
[199] P(0.335776, 1.3, 0.559817) | V(-0.0223679, 0.113799, 0.0234045) | D:12124.3 | Pr:55621.4
[200] P(-0.522267, 1.3, 0.0847117) | V(0.00370804, 0.109511, 0.0496442) | D:12064.9 | Pr:55324.3
[201] P(0.891673, 1.3, -0.0385652) | V(0.0863458, 0.112601, -0.0877734) | D:12436 | Pr:57180
[202] P(1, 1.3, 1) | V(-0.132033, 0.115595, -0.122574) | D:14087.9 | Pr:65439.6
[203] P(-0.872561, 1.6166, 0.401314) | V(0.163818, 0.14114, 0.0817527) | D:3714.87 | Pr:13574.4
[204] P(0.648574, 1.89852, 0.589974) | V(-0.165516, 0.253664, -0.2596) | D:1115.8 | Pr:578.99
[205] P(-0.910402, 1.3, 0.8441) | V(0.0298831, 0.110967, -0.0598086) | D:13451.5 | Pr:62257.7
[206] P(-0.910402, 1.3, 0.8441) | V(0.0298831, 0.110967, -0.0598086) | D:13451.5 | Pr:62257.7
[207] P(-0.910402, 1.3, 0.8441) | V(0.0298831, 0.110967, -0.0598086) | D:13451.5 | Pr:62257.7
[208] P(-0.910402, 1.3, 0.8441) | V(0.0298831, 0.110967, -0.0598086) | D:13451.5 | Pr:62257.7
[209] P(1, 1.3, 0.467721) | V(-0.0879464, 0.124992, 0.446615) | D:13683.4 | Pr:63416.8
[210] P(0.25385, 1.3, -0.912654) | V(-0.0412779, 0.11392, 0.104826) | D:13404.2 | Pr:62021.2
[211] P(0.440073, 1.3, 0.487396) | V(-0.00607408, 0.118698, 0.00632074) | D:12255 | Pr:56274.9
[212] P(0.440073, 1.3, 0.487396) | V(-0.00607408, 0.118698, 0.00632074) | D:12255 | Pr:56274.9
[213] P(0.440073, 1.3, 0.487396) | V(-0.00607408, 0.118698, 0.00632074) | D:12255 | Pr:56274.9
[214] P(0.440073, 1.3, 0.487396) | V(-0.00607408, 0.118698, 0.00632074) | D:12255 | Pr:56274.9
[215] P(0.440073, 1.3, 0.487396) | V(-0.00607408, 0.118698, 0.00632074) | D:12255 | Pr:56274.9
[216] P(0.359937, 1.3, 0.826884) | V(0.0228513, 0.111062, 0.0337292) | D:11986 | Pr:54929.8
[217] P(-0.112644, 1.56005, 0.573654) | V(0.212401, 0.185336, -0.136277) | D:4570.3 | Pr:17851.5
[218] P(-0.317029, 1.3, -0.274073) | V(-0.0549732, 0.118002, 0.00941645) | D:11928.9 | Pr:54644.7
[219] P(0.790201, 1.49416, -0.877134) | V(-0.000180658, -0.191575, 0.144259) | D:6147.09 | Pr:25735.4
[220] P(0.0862625, 1.3, -0.427611) | V(0.00395193, 0.112563, -0.0683136) | D:11714.8 | Pr:53574
[221] P(0.653642, 1.3, 0.391815) | V(0.0352204, 0.115739, 0.0326407) | D:11972.7 | Pr:54863.6
[222] P(-0.0802886, 1.6197, -1) | V(0.0434402, -0.12391, 0.0457147) | D:4719.55 | Pr:18597.8
