RadiusFromCore,Density,Pressure,VelocityMagnitude
1.07328,1.90552e+06,190352,0.0297385
1.07787,493164,49116.4,0.0276645
1.08082,861410,85941,0.0311379
1.06878,930116,92811.6,0.0295508
1.11656,537088,53508.8,0.0415332
1.14424,173816,17181.6,0.0280119
1.09271,199363,19736.3,0.027002
1.063,2.52606e+06,252406,0.0302949
1.07741,977392,97539.2,0.031213
1.08618,678158,67615.9,0.0297165
1.08996,1.0611e+06,105910,0.0300686
1.12538,528529,52652.9,0.0299373
1.07929,256074,25407.4,0.0288871
1.13228,31773.4,2977.34,0.0295199
1.1115,309655,30765.5,0.0307876
1.13411,93584.1,9158.41,0.0308488
1.13913,135933,13393.3,0.029208
1.08313,896884,89488.4,0.0296678
1.1324,466079,46407.9,0.0304268
1.11908,63363.6,6136.36,0.0318313
1.07696,1.01442e+06,101242,0.033335
1.13877,197065,19506.5,0.0293368
1.08816,354584,35258.4,0.0274935
1.07201,2.25388e+06,225188,0.0277945
1.09015,196317,19431.7,0.0261452
1.12074,45662.9,4366.29,0.0329084
1.08397,903557,90155.7,0.0323423
1.10211,1.22421e+06,122221,0.030255
1.10414,1.10178e+06,109978,0.0292151
1.07474,1.6101e+06,160810,0.0289412
1.08886,65336.7,6333.67,0.0317389
1.06424,572534,57053.4,0.0301702
1.07368,1.56934e+06,156734,0.0307841
1.07461,1.50335e+06,150135,0.0315998
1.13018,210586,20858.6,0.0288045
1.07658,1.35922e+06,135722,0.0305376
1.16698,28025.3,2602.53,0.028021
1.08757,599742,59774.2,0.0289189
1.1262,109432,10743.2,0.0315444
1.09864,605672,60367.2,0.0312855
1.09263,365863,36386.3,0.0295264
1.11041,964018,96201.8,0.0297794
1.0933,38152.1,3615.21,0.0301906
1.12262,601473,59947.3,0.034017
1.10987,332152,33015.2,0.0269429
1.0757,1.33136e+06,132936,0.0318757
1.08359,211601,20960.1,0.0278796
1.07844,2.06066e+06,205866,0.0301791
1.08866,548145,54614.5,0.0340173
